,Drug_ID,Smiles,Selfies
0,D11314340,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N,[C][C][=C][C][=C][Branch1][#Branch2][C][=C][C][Ring1][=Branch1][=N][N][Ring1][=Branch2][C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][O][C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N]
1,D24889392,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=Branch1][Branch1][=N][O][Ring1][Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][C][=C][Branch2][Ring1][Ring2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][S][C][Ring2][Ring1][C][=N][Ring2][Ring1][Branch1]
2,D11409972,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F,[C][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][Branch2][Ring2][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][Branch1][C][F][Branch1][C][F][F]
3,D11338033,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,[C][C][N][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][C][=N][N][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl]
4,D10184653,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[C][N][Branch1][C][C][C][C][=C][C][=Branch1][C][=O][N][C][=C][Branch2][Ring1][S][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=N][C][=N][Ring1][#Branch1][N][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][Cl][O][C][C][C][O][C][Ring1][Branch1]
5,D5287969,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,[C][N][C][C][C][Branch1][Branch2][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][=C][Branch2][Ring1][=N][C][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][=Branch1][=C][C][Ring1][=Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][O][O]
6,D6450551,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,[C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][Branch1][=N][N][Ring1][#Branch1][C][=C][C][=C][C][=C][C][=N][Ring1][=Branch1]
7,D11364421,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,[C][C][C][C][=Branch1][C][=O][N][Branch2][Branch1][Branch1][C][=C][N][=C][Branch1][#C][N][=C][Ring1][=Branch1][N][Ring1][O][C][C][C][C][C][Ring1][Branch1][N][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][O][C][C]
8,D9926054,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=C][Branch1][=N][C][=N][C][=C][Branch1][=Branch1][N][Ring1][O][Ring1][Branch1][C][N][C][C][N].[Cl]
9,D16007391,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,[C][C][N][Branch2][Branch1][C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=N][C][=N][Ring1][Branch2][N][C][=N][N][C][=Branch1][Ring2][=C][Ring1][Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][F][C][C][O]
10,D5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][O][C][=C][Branch2][Ring2][Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=C][C][=Branch2][Ring1][Branch1][=C][Ring1][#Branch1][N][C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][O][C][C][#N][O][C]
11,D11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C,[C][C][=C][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][C][=Branch1][Branch1][=C][Ring1][#Branch1][F][O][C][=N][C][=N][N][C][Ring1][=Branch1][=C][Branch1][=C][C][=Branch1][Ring2][=C][Ring1][Branch1][O][C][C][Branch1][C][C][O][C]
12,D11656518,CN1C2=C(C=C(C=C2)OC3=CC(=NC=C3)C4=NC=C(N4)C(F)(F)F)N=C1NC5=CC=C(C=C5)C(F)(F)F,[C][N][C][=C][Branch2][Ring2][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][C][=Branch1][=Branch1][=N][C][=C][Ring1][=Branch1][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][Branch1][C][F][Branch1][C][F][F][N][=C][Ring2][Ring1][=Branch2][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F]
13,D6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,[C][C][C][Ring1][Ring1][C][O][N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][F][N][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][I][Cl]
14,D156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,[C][=C][C][=Branch1][C][=O][N][C][=C][Branch2][Ring1][S][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=N][C][=N][Ring1][#Branch1][N][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][Cl][O][C][C][C][N][C][C][O][C][C][Ring1][=Branch1]
15,D9933475,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,[C][C][=C][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][C][=Branch1][Branch1][=C][Ring1][#Branch1][F][O][C][=N][C][=N][C][=C][C][=Branch1][N][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][Ring1][#Branch2][O][C][O][C][C][C][N][C][C][C][C][Ring1][Branch1]
16,D11626560,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,[C][C][Branch1][S][C][=C][Branch1][O][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][F][Cl][O][C][=C][Branch2][Ring1][#Branch2][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][N][Branch1][Branch1][N][=C][Ring1][Branch1][C][C][C][N][C][C][Ring1][=Branch1][N]
