,Drug_ID,Smiles,Selfies
0,PubChem7847070,CCc1nc2ccccc2c(C(=O)OCC(=O)c2ccccc2Cl)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][=C][Ring2][Ring1][#Branch1][C]
1,PubChem7847514,CCc1cc(C(=O)OCC(=O)Nc2ccc(OC)cc2[N+](=O)[O-])sc1C,[C][C][C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1][S][C][=Ring2][Ring1][#Branch1][C]
2,PubChem7847105,CCc1nc2ccccc2c(C(=O)O[C@@H](C)C(=O)N[C@H](C)CCc2ccccc2)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][=N][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][N][C]
3,PubChem7847223,Cc1ccc(NC(=O)CN(C)C(=O)COC(=O)COc2ccccc2Cl)cc1,[C][C][=C][C][=C][Branch2][Ring1][S][N][C][=Branch1][C][=O][C][N][Branch1][C][C][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=C][Ring2][Ring1][O]
4,PubChem7847089,CCc1nc2ccccc2c(C(=O)O[C@H](C)C(=O)N(C)Cc2ccccc2)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][O][C][=Branch1][C][=O][O][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][#Branch2][C]
5,PubChem17397037,Cc1nc(-c2ccc(F)cc2)sc1C(=O)NCC(=O)NC(C)(C)C,[C][C][N][=C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][S][C][=Ring1][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C]
6,PubChem7848504,COc1ccc(C(=O)[C@H](C)OC(=O)c2ccc3c(c2)NC(=O)CCS3)cc1,[C][O][C][=C][C][=C][Branch2][Ring2][C][C][=Branch1][C][=O][C@H1][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][Ring1][=Branch2][C][=C][Ring2][Ring1][=Branch2]
7,PubChem7847345,Cc1cc(C)c(NC(=O)COC(=O)COc2ccccc2Cl)c(C)c1,[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][Branch1][C][C][=C][Ring2][Ring1][Branch2]
8,PubChem7847111,CCc1nc2ccccc2c(C(=O)O[C@@H](C)C(=O)N2[C@H](C)CCC[C@H]2C)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][C][C][C@H1][Ring1][#Branch1][C][=C][Ring2][Ring1][=Branch2][C]
9,PubChem7847228,CC[C@H](NC(=O)COC(=O)COc1ccccc1Cl)c1ccc(C)cc1,[C][C][C@H1][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1]
10,PubChem7847107,CCc1nc2ccccc2c(C(=O)O[C@@H](C)C(=O)NC2CC2)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][Ring1][Ring1][=C][Ring2][Ring1][Branch1][C]
11,PubChem7847133,CCc1nc2ccccc2c(C(=O)OCc2cccc(Cl)c2)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=C][Ring2][Ring1][Branch1][C]
12,PubChem7847204,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)OCC(=O)c2ccc(F)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring2][#Branch1][C][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][=C]
13,PubChem7849382,CNC(=O)COC(=O)c1cc(S(C)(=O)=O)ccc1C,[C][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Ring1][#Branch2][C]
14,PubChem7847175,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)OCC(=O)Nc2cc(C)on2)cc1,[C][C][=C][C][=C][Branch2][Ring2][#Branch1][C][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][C][=C][Branch1][C][C][O][N][=Ring1][=Branch1][C][=C][Ring2][Ring1][=C]
15,PubChem7847252,O=C(COC(=O)COc1ccccc1Cl)Nc1ccc2c(c1)OC(F)(F)O2,[O][=C][Branch2][Ring1][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][Branch1][C][F][Branch1][C][F][O][Ring1][Branch2]
16,PubChem7849039,COC(=O)c1ccc2c(=O)n(C[C@@H](C)O)c(S[C@H](C)C(=O)N3CCCC3)nc2c1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C@@H1][Branch1][C][C][O][C][Branch1][P][S][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][=N][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2]
17,PubChem17397371,Cc1cc(C)c(CNC(=O)c2ccccc2C(F)(F)F)c(=O)[nH]1,[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][#Branch1][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][Ring2][Ring1][=Branch1]
18,PubChem17397405,Cc1ccc(C(=O)NCc2ccc(CN3CCOCC3)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][=N][C][=C][Ring2][Ring1][#Branch1]
19,PubChem17397500,CCCOc1ccccc1NC(=O)c1ccc2nccnc2c1,[C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][C][=N][C][Ring1][=Branch1][=C][Ring1][#Branch2]
20,PubChem17398007,CCCN1C(=O)/C(=C\c2ccccc2F)NC1=S,[C][C][C][N][C][=Branch1][C][=O][/C][=Branch1][O][=C][\C][=C][C][=C][C][=C][Ring1][=Branch1][F][N][C][Ring1][=C][=S]
21,PubChem17398008,CC(=O)Nc1cccc(C(=O)OC(C)C(=O)Nc2ccccc2Cl)c1,[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][O][C][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][=C][Ring2][Ring1][Branch1]
22,PubChem17398009,C#CCNC(=O)N1CCN(c2ccc(F)cc2)CC1,[C][#C][C][N][C][=Branch1][C][=O][N][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring1][=N]
23,PubChem7847284,CNC(=O)NC(=O)[C@@H](C)OC(=O)COc1ccccc1Cl,[C][N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]
24,PubChem7847643,O=C(COC(=O)CNS(=O)(=O)c1ccc2c(c1)CCCC2)NC1CC1,[O][=C][Branch2][Ring1][S][C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][N][C][C][C][Ring1][Ring1]
25,PubChem17397766,CCOc1cc2c(cc1CNC(=O)Cc1ccc(S(=O)(=O)N3CCCC3)s1)OC(C)C2,[C][C][O][C][=C][C][=C][Branch2][Ring2][Ring1][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][#C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][S][Ring1][=N][O][C][Branch1][C][C][C][Ring2][Ring1][#Branch2]
26,PubChem7848286,CNC(=O)COC(=O)c1ccc2c(c1)NC(=O)CCS2,[C][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][Ring1][=Branch2]
27,PubChem17398010,CC(SCc1cccc(Cl)c1)C(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,[C][C][Branch1][=C][S][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][N][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C]
28,PubChem7847113,CCc1nc2ccccc2c(C(=O)O[C@@H](C)C(=O)N2[C@H](C)CCC[C@@H]2C)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][C][C][C@@H1][Ring1][#Branch1][C][=C][Ring2][Ring1][=Branch2][C]
29,PubChem17396927,COC(=O)CC1c2cc(OC)c(OC)cc2CCN1C(=O)CCCOc1ccc(C)cc1,[C][O][C][=Branch1][C][=O][C][C][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][#Branch2][C][C][N][Ring1][=C][C][=Branch1][C][=O][C][C][C][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1]
30,PubChem7848339,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)COC(=O)CCC(C)C,[C][C][=C][C][=C][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][#C][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][C]
31,PubChem7847964,CC(C)CCC(=O)OCC(=O)Nc1cc(-c2ccc(Cl)cc2)nn1C,[C][C][Branch1][C][C][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][N][Ring1][N][C]
32,PubChem7847966,CC(C)CCC(=O)OCC(=O)Nc1cccc(S(=O)(=O)N(C)c2ccccc2)c1,[C][C][Branch1][C][C][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch2][Ring1][Ring2][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P]
33,PubChem17397915,CCCC1NC(=O)N(Cc2ccc(C(=O)Nc3ccccc3)cc2)C1=O,[C][C][C][C][N][C][=Branch1][C][=O][N][Branch2][Ring1][=Branch2][C][C][=C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#C][C][Ring2][Ring1][=Branch1][=O]
34,PubChem7847294,C[C@H](OC(=O)COc1ccccc1Cl)C(=O)Nc1cccc2ccccc12,[C][C@H1][Branch1][P][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
35,PubChem7847298,C[C@H](OC(=O)COc1ccccc1Cl)C(=O)Nc1ccc(F)cc1,[C][C@H1][Branch1][P][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
36,PubChem7847437,CC(C)(C)c1ccc(SCC(=O)NN2C(=O)NC3(CCCCC3)C2=O)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][N][S][C][C][=Branch1][C][=O][N][N][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][Ring1][O][=O][C][=C][Ring2][Ring1][#Branch1]
37,PubChem7847483,CCc1cc(C(=O)OCC(=O)Nc2ccccc2F)sc1C,[C][C][C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][F][S][C][=Ring2][Ring1][Ring1][C]
38,PubChem7847567,C[C@H]1CCCC[C@H]1NC(=O)COC(=O)CNS(=O)(=O)c1ccc2c(c1)CCCC2,[C][C@H1][C][C][C][C][C@H1][Ring1][=Branch1][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1]
39,PubChem7847594,O=C(COc1ccccc1Br)Nc1ccccc1OC(F)F,[O][=C][Branch1][N][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][F][F]
40,PubChem7847757,CC(C)n1nccc1NC(=O)[C@@H](C)Sc1c(Cl)cccc1Cl,[C][C][Branch1][C][C][N][N][=C][C][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][S][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]
41,PubChem7848196,CC(C)CCC(=O)O[C@H](C(=O)NC(N)=O)C(C)C,[C][C][Branch1][C][C][C][C][C][=Branch1][C][=O][O][C@H1][Branch1][O][C][=Branch1][C][=O][N][C][Branch1][C][N][=O][C][Branch1][C][C][C]
42,PubChem7848261,CC(C)CCC(=O)OCC(=O)NC1(C#N)CCCCC1,[C][C][Branch1][C][C][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][#N][C][C][C][C][C][Ring1][Branch2]
43,PubChem7848753,COC(=O)c1ccc(COC(=O)CN(C)S(=O)(=O)c2ccc(F)cc2)o1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=C][C][O][C][=Branch1][C][=O][C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][O][Ring2][Ring1][=Branch1]
44,PubChem7848767,C[C@@H](OC(=O)CN(C)S(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccccc1,[C][C@@H1][Branch2][Ring1][=N][O][C][=Branch1][C][=O][C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1]
