,Drug_ID,Smiles,Selfies
0,PubChem7847360,Fc1cccc(Cl)c1C[NH2+]C1CCCCC1,[F][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][NH2+1][C][C][C][C][C][C][Ring1][=Branch1]
1,PubChem7849415,Cc1ccc(S(C)(=O)=O)cc1C(=O)OCC(=O)N[C@@H]1CCCC[C@@H]1C,[C][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C@@H1][C][C][C][C][C@@H1][Ring1][=Branch1][C]
2,PubChem7847398,Cc1cc(C(=O)CSc2ccc(C(C)(C)C)cc2)c(C)n1[C@H]1CCS(=O)(=O)C1,[C][C][=C][C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][C][S][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][=C][Branch1][C][C][N][Ring2][Ring1][Ring2][C@H1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][Ring1][#Branch1]
3,PubChem7847503,CC(C)(C)c1ccc(SCn2nnc3ccccc3c2=O)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][C][S][C][N][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O][C][=C][Ring2][Ring1][Ring1]
4,PubChem7847578,Cc1cc(C(=O)COC(=O)CNS(=O)(=O)c2ccc3c(c2)CCCC3)c(C)n1C,[C][C][=C][C][Branch2][Ring2][Ring2][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][=C][Branch1][C][C][N][Ring2][Ring1][O][C]
5,PubChem7847608,CC(C)[C@H](OC(=O)CNS(=O)(=O)c1ccc2c(c1)CCCC2)C(=O)NC(N)=O,[C][C][Branch1][C][C][C@H1][Branch2][Ring1][#C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][Branch1][C][N][=O]
6,PubChem7847626,CC(C)[C@@](C)(C#N)NC(=O)COc1ccccc1Br,[C][C][Branch1][C][C][C@@][Branch1][C][C][Branch1][Ring1][C][#N][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br]
7,PubChem7847684,CC(C)c1ccc(CSc2nnc(SCC(=O)N3CCCC3=O)s2)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][S][C][=N][N][=C][Branch1][#C][S][C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][=O][S][Ring1][#C][C][=C][Ring2][Ring1][#Branch1]
8,PubChem7847695,O=C(COc1ccccc1Br)N1CCc2ccccc2C1,[O][=C][Branch1][N][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2]
9,PubChem7848358,CCOC(=O)NC(=O)COC(=O)c1ccc2c(c1)NC(=O)CCS2,[C][C][O][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][Ring1][=Branch2]
10,PubChem7847294,C[C@H](OC(=O)COc1ccccc1Cl)C(=O)Nc1cccc2ccccc12,[C][C@H1][Branch1][P][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
11,PubChem7847402,CC(C)(C)c1ccc(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][S][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][Branch1]
12,PubChem7848516,COc1ccc([N+](=O)[O-])cc1NC(=O)COc1cc(Cl)cc(Cl)c1,[C][O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][C][O][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2]
13,PubChem7848775,C[C@@H](OC(=O)CN(C)S(=O)(=O)c1ccc(F)cc1)C(=O)NC1CCCC1,[C][C@@H1][Branch2][Ring1][=N][O][C][=Branch1][C][=O][C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][Branch1]
14,PubChem7849467,Cc1ccc(S(C)(=O)=O)cc1C(=O)O[C@@H](C)C(=O)Nc1ccc2c(c1)OCO2,[C][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1]
15,PubChem7847103,CCc1nc2ccccc2c(C(=O)OCc2cc(Cl)cc3c2OCOC3)c1C,[C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][O][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O][C][O][C][Ring1][=Branch1][=C][Ring2][Ring1][=Branch2][C]
16,PubChem7847178,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)OCC(=O)N[C@H](C)C(C)C)cc1,[C][C][=C][C][=C][Branch2][Ring2][=Branch1][C][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][Branch1][C][C][C][C][=C][Ring2][Ring1][=N]
17,PubChem7847263,CCC(=O)Nc1ccc(C(=O)COC(=O)COc2ccccc2Cl)cc1,[C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=C][Ring2][Ring1][Branch1]
18,PubChem7847677,CCC(CC)NC(=O)CSc1nnc(SCc2ccc(C(C)C)cc2)s1,[C][C][C][Branch1][Ring1][C][C][N][C][=Branch1][C][=O][C][S][C][=N][N][=C][Branch2][Ring1][C][S][C][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][S][Ring1][S]
